,alg_type,env_name,gae_lambda,ent_coef,actor_lr,critic_lr,percentile_normalized_return,mean_return
100,advn_norm_ema,ant,0.3,0.01,1e-05,0.01,0.5749236423174008,-13.21592481054875
101,advn_norm_ema,ant,0.3,0.01,1e-05,0.1,0.5839037802743681,-12.653983345031738
102,advn_norm_ema,ant,0.3,0.01,0.0001,1e-05,0.5362623353207306,-15.63519627571106
103,advn_norm_ema,ant,0.3,0.01,0.0001,0.0001,0.883455132053252,6.090753809660673
104,advn_norm_ema,ant,0.3,0.01,0.0001,0.001,0.6729111949395388,-7.084251868911087
105,advn_norm_ema,ant,0.3,0.01,0.0001,0.01,0.7912805094701273,0.32283100646454843
106,advn_norm_ema,ant,0.3,0.01,0.0001,0.1,0.5654683272146391,-13.807600979804993
107,advn_norm_ema,ant,0.3,0.01,0.001,1e-05,0.4875836651174805,-18.68131465435028
108,advn_norm_ema,ant,0.3,0.01,0.001,0.0001,0.4741824475998812,-19.519909768104554
109,advn_norm_ema,ant,0.3,0.01,0.001,0.001,0.4437545991506257,-21.423964007810092
110,advn_norm_ema,ant,0.3,0.01,0.001,0.01,0.48291740268396693,-18.973310875671267
111,advn_norm_ema,ant,0.3,0.01,0.001,0.1,0.42734608210205693,-22.45074401513501
112,advn_norm_ema,ant,0.3,0.01,0.01,0.0001,0.3854011423191633,-25.075492214502557
113,advn_norm_ema,ant,0.3,0.01,0.01,0.001,0.35364635008659684,-27.062581340512256
114,advn_norm_ema,ant,0.3,0.01,0.01,0.01,0.40637323100369516,-23.763141969237665
115,advn_norm_ema,ant,0.3,0.01,0.01,0.1,0.33042684768399105,-28.51556583487325
116,advn_norm_ema,ant,0.3,0.01,0.1,1e-05,0.029069743230069174,-47.373299839885185
117,advn_norm_ema,ant,0.3,0.01,0.1,0.0001,0.00850742574098669,-48.66000822672864
118,advn_norm_ema,ant,0.3,0.01,0.1,0.001,-0.0054909918747413095,-49.535973757280246
119,advn_norm_ema,ant,0.3,0.1,1e-05,1e-05,0.5211347514289926,-16.581820559501647
120,advn_norm_ema,ant,0.3,0.1,1e-05,0.0001,0.5501730201336108,-14.76472071647644
121,advn_norm_ema,ant,0.3,0.1,1e-05,0.001,0.553007403239684,-14.587356247901916
122,advn_norm_ema,ant,0.3,0.1,1e-05,0.01,0.5239835563049262,-16.40355363368988
123,advn_norm_ema,ant,0.3,0.1,1e-05,0.1,0.4746920162428069,-19.48802298069
124,advn_norm_ema,ant,0.3,0.1,0.0001,1e-05,0.1327866360498502,-40.88310748100281
125,advn_norm_ema,ant,0.3,0.1,0.0001,0.0001,0.18567372399888804,-37.57364298820496
126,advn_norm_ema,ant,0.3,0.1,0.0001,0.001,0.18920553747621874,-37.35263608932495
127,advn_norm_ema,ant,0.3,0.1,0.0001,0.01,0.1776032066687385,-38.078663997650146
128,advn_norm_ema,ant,0.3,0.1,0.0001,0.1,0.13065212373584179,-41.01667680740356
129,advn_norm_ema,ant,0.3,1.0,1e-05,1e-05,0.4802391256565047,-19.1409068441391
130,advn_norm_ema,ant,0.3,1.0,1e-05,0.0001,0.5270089378870396,-16.214237236976622
131,advn_norm_ema,ant,0.3,1.0,1e-05,0.001,0.5250280444468133,-16.338193702697755
132,advn_norm_ema,ant,0.3,1.0,1e-05,0.01,0.4836818408378004,-18.925475363731383
133,advn_norm_ema,ant,0.3,1.0,1e-05,0.1,0.4394399107555324,-21.693960118293763
134,advn_norm_ema,ant,0.3,1.0,0.0001,1e-05,0.09577259154610523,-43.199299783706664
135,advn_norm_ema,ant,0.3,1.0,0.0001,0.0001,0.08536656197663373,-43.85046789877391
136,advn_norm_ema,ant,0.3,1.0,0.0001,0.001,0.11869552068688942,-41.76487366942622
137,advn_norm_ema,ant,0.3,1.0,0.0001,0.01,0.09939286505791221,-42.97275740623474
138,advn_norm_ema,ant,0.3,1.0,0.0001,0.1,0.08085024768434304,-44.13308095932007
139,advn_norm_ema,ant,0.3,10.0,1e-05,1e-05,0.44953556555383517,-21.062214027098076
140,advn_norm_ema,ant,0.3,10.0,1e-05,0.0001,0.5121642363797864,-17.143159861564637
141,advn_norm_ema,ant,0.3,10.0,1e-05,0.001,0.5062806475273418,-17.511331548690794
142,advn_norm_ema,ant,0.3,10.0,1e-05,0.01,0.46657962276317383,-19.99566443371008
143,advn_norm_ema,ant,0.3,10.0,1e-05,0.1,0.43250943768951333,-22.127641673088075
144,advn_norm_ema,ant,0.3,10.0,0.0001,1e-05,0.07333841938112623,-44.603141422271726
145,advn_norm_ema,ant,0.3,10.0,0.0001,0.0001,0.08712142989037978,-43.74065521527564
146,advn_norm_ema,ant,0.3,10.0,0.0001,0.001,0.11167292570231707,-42.20431984901428
147,advn_norm_ema,ant,0.3,10.0,0.0001,0.01,0.09785305356089567,-43.06911271095276
148,advn_norm_ema,ant,0.3,10.0,0.0001,0.1,0.05990322129363381,-45.44386290550232
149,advn_norm_ema,ant,0.5,0.001,1e-05,1e-05,0.6134561093038103,-10.804715642929077
150,advn_norm_ema,ant,0.5,0.001,1e-05,0.0001,0.6477936235826806,-8.656010000705718
151,advn_norm_ema,ant,0.5,0.001,1e-05,0.001,0.695518261160306,-5.669591205120087
152,advn_norm_ema,ant,0.5,0.001,1e-05,0.01,0.6150991951558344,-10.701897838115691
153,advn_norm_ema,ant,0.5,0.001,1e-05,0.1,0.6200999525609252,-10.388970246315003
154,advn_norm_ema,ant,0.5,0.001,0.0001,1e-05,0.9104403444535714,7.779381520748139
155,advn_norm_ema,ant,0.5,0.001,0.0001,0.0001,1.256800730387293,29.453242635278748
156,advn_norm_ema,ant,0.5,0.001,0.0001,0.001,1.2390017860364457,28.339455194473267
157,advn_norm_ema,ant,0.5,0.001,0.0001,0.01,0.9985851933551699,13.29513704776764
158,advn_norm_ema,ant,0.5,0.001,0.0001,0.1,0.8675387870123014,5.094771977216006
159,advn_norm_ema,ant,0.5,0.001,0.001,1e-05,0.564867783961423,-13.845180598006385
160,advn_norm_ema,ant,0.5,0.001,0.001,0.0001,0.5842547473708002,-12.632021214220115
161,advn_norm_ema,ant,0.5,0.001,0.001,0.001,0.6183229854993775,-10.500165806954122
162,advn_norm_ema,ant,0.5,0.001,0.001,0.01,0.5799451156295214,-12.901700899336074
163,advn_norm_ema,ant,0.5,0.001,0.001,0.1,0.5512553689361634,-14.69699161529541
164,advn_norm_ema,ant,0.5,0.001,0.01,1e-05,0.5297822423122048,-16.040694830337642
165,advn_norm_ema,ant,0.5,0.001,0.01,0.0001,0.5583795974387405,-14.251185612692728
166,advn_norm_ema,ant,0.5,0.001,0.01,0.001,0.573530498240175,-13.303102249045134
167,advn_norm_ema,ant,0.5,0.001,0.01,0.01,0.5557273270993169,-14.417154185628364
168,advn_norm_ema,ant,0.5,0.001,0.1,0.0001,0.18202870745949537,-37.801733686342935
169,advn_norm_ema,ant,0.5,0.001,0.1,0.001,0.14096741471155094,-40.37118675414362
170,advn_norm_ema,ant,0.5,0.001,0.1,0.01,0.12421086957036767,-41.41974498106183
171,advn_norm_ema,ant,0.5,0.01,1e-05,1e-05,0.5952176844477822,-11.946004033088684
172,advn_norm_ema,ant,0.5,0.01,1e-05,0.0001,0.6451970520013076,-8.818493165969848
173,advn_norm_ema,ant,0.5,0.01,1e-05,0.001,0.668996218748484,-7.329235572814941
174,advn_norm_ema,ant,0.5,0.01,1e-05,0.01,0.5818494044956483,-12.782538044452668
175,advn_norm_ema,ant,0.5,0.01,1e-05,0.1,0.595150412449389,-11.950213648302444
176,advn_norm_ema,ant,0.5,0.01,0.0001,1e-05,0.5494006386831228,-14.813053288459777
177,advn_norm_ema,ant,0.5,0.01,0.0001,0.0001,0.9185994391681017,8.289945352077485
178,advn_norm_ema,ant,0.5,0.01,0.0001,0.001,0.6452402936885054,-8.815787272453308
179,advn_norm_ema,ant,0.5,0.01,0.0001,0.01,0.7764614542016184,-0.6044867780804634
180,advn_norm_ema,ant,0.5,0.01,0.0001,0.1,0.5670031222248616,-13.711559586961636
181,advn_norm_ema,ant,0.5,0.01,0.001,1e-05,0.43016001632703266,-22.274659156547227
182,advn_norm_ema,ant,0.5,0.01,0.001,0.0001,0.4600114403882571,-20.406675271987915
183,advn_norm_ema,ant,0.5,0.01,0.001,0.001,0.44843203030317236,-21.131268892288208
184,advn_norm_ema,ant,0.5,0.01,0.001,0.01,0.4645153814630276,-20.124836478387298
185,advn_norm_ema,ant,0.5,0.01,0.001,0.1,0.41637763875433076,-23.1371057568808
186,advn_norm_ema,ant,0.5,0.01,0.01,0.01,0.3613540909051901,-26.58026144830335
187,advn_norm_ema,ant,0.5,0.01,0.1,0.01,0.010422304439612002,-48.54018270207087
188,advn_norm_ema,ant,0.5,0.01,0.1,0.1,0.01737964349376366,-48.10481998014794
189,advn_norm_ema,ant,0.5,0.1,1e-05,1e-05,0.5128799572212689,-17.098372886075946
190,advn_norm_ema,ant,0.5,0.1,1e-05,0.0001,0.5513922221501278,-14.688427883203065
